Location_clean,healthy_tweets,Total_tweets,vmd
Amazonas,56.0,261.0,0.21455938697318008
Antioquia,165.0,751.0,0.2197070572569907
Arauca,52.0,368.0,0.14130434782608695
Atlántico,123.0,444.0,0.27702702702702703
Bogotá,847.0,4809.0,0.17612809315866085
Bolívar,131.0,621.0,0.2109500805152979
Boyacá,104.0,537.0,0.19366852886405958
Caldas,83.0,409.0,0.20293398533007334
Caquetá,51.0,227.0,0.22466960352422907
Casanare,61.0,362.0,0.1685082872928177
Cauca,98.0,449.0,0.2182628062360802
Cesar,113.0,421.0,0.2684085510688836
Chocó,104.0,407.0,0.25552825552825553
Cundinamarca,157.0,631.0,0.24881141045958796
Córdoba,120.0,465.0,0.25806451612903225
Guainía,12.0,78.0,0.15384615384615385
Guaviare,53.0,249.0,0.21285140562248997
Huila,83.0,424.0,0.1957547169811321
La Guajira,151.0,566.0,0.2667844522968198
Magdalena,108.0,432.0,0.25
Meta,54.0,289.0,0.18685121107266436
Nariño,99.0,646.0,0.15325077399380804
No aplica,1490.0,6443.0,0.2312587304050908
Norte de Santander,54.0,237.0,0.22784810126582278
Putumayo,3.0,18.0,0.16666666666666666
Quindío,82.0,336.0,0.24404761904761904
Risaralda,79.0,420.0,0.1880952380952381
San Andrés,73.0,275.0,0.26545454545454544
Santander,97.0,474.0,0.20464135021097046
Sucre,46.0,220.0,0.20909090909090908
Tolima,81.0,406.0,0.19950738916256158
Valle del Cauca,167.0,631.0,0.26465927099841524
Vaupés,7.0,39.0,0.1794871794871795
Vichada,6.0,67.0,0.08955223880597014
