,Unnamed: 0,Tweet Text,label,preprocessed_tweet
0,0,Hice la pizza casera más deliciosa do mundo.,Non-healthy,hice la pizza casera más deliciosa do mundo .
1,1,"No amén sin ser amado, ese deporte mata .",Negative,"no amén sin ser amado , ese deporte mata ."
2,2,#EsNoticia| Botar colillas de cigarrillo al espacio público atenta contra la vida. 📑Comunicado de Prensa H.C. @luciabastidasu,Other,<hashtag> es noticia </hashtag> | botar colillas de cigarrillo al espacio público atenta contra la vida . 📑 comunicado de prensa h.c. <user>
3,3,En esta cuarentena en vez de encontrarme conmigo misma me encontré fue con una depresión ni la más hpt.,Negative,en esta cuarentena en vez de encontrarme conmigo misma me encontré fue con una depresión ni la más hpt .
4,4,"Yo feliz de que mientras estoy encerrada como el resto de humanos, los demás seres vivos salgan y disfruten por ahi de su tierra 💛",Positive,"yo feliz de que mientras estoy encerrada como el resto de humanos , los demás seres vivos salgan y disfruten por ahi de su tierra 💛"
5,5,"Que asco las aceitunas, le quitan todo lo bueno a las comidas, ¿Como carajos le echan esa vaina a una pizza?  RT @_alejocas: Odio el aguacate, la textura es horrible y cuando se lo ponen a cualquier comida la dañan y queda sabiendo a nada.",Non-healthy,"que asco las aceitunas , le quitan todo lo bueno a las comidas , ¿ como carajos le echan esa vaina a una pizza ? rt <user> : odio el aguacate , la textura es horrible y cuando se lo ponen a cualquier comida la dañan y queda sabiendo a nada ."
6,6,"#PorMiSaludMentalYo trato de ser positivo frente a la crisis, nuevas oportunidades vendrán, y pienso que es una forma de ser más fuerte frente a las adversidades",Positive,"<hashtag> por mi salud mental yo </hashtag> trato de ser positivo frente a la crisis , nuevas oportunidades vendrán , y pienso que es una forma de ser más fuerte frente a las adversidades"
7,7,"Tienen depresión pero se la pasan de rumba, de cena en cena y de shopping... A lo bien marica? Yo creo que la depresión es un poquito más serio. Imbéciles.",Negative,"tienen depresión pero se la pasan de rumba , de cena en cena y de shopping . <repeated> a lo bien marica ? yo creo que la depresión es un poquito más serio . imbéciles ."
8,8,"Parce yo tomo y me siento re prenda pero si veo que mis amigos estan muy ebrios la piloteo y los cuido, el dilema es que los hptas amanecen re bien y yo si con un guayabo ni el hpta que me mata.",Non-healthy,"parce yo tomo y me siento re prenda pero si veo que mis amigos estan muy ebrios la piloteo y los cuido , el dilema es que los hptas amanecen re bien y yo si con un guayabo ni el hpta que me mata ."
9,9,Para nosotros los maniáticos del #Deporte. #SiHay @DIRECTVLA #FutbolEnDIRECTV #VamosColombia #COVIDー19 #Covid19Colombia #Covid_19,Practice_sports,para nosotros los maniáticos del <hashtag> deporte </hashtag> . <hashtag> si hay </hashtag> <user> <hashtag> futbol en directv </hashtag> <hashtag> vamos colombia </hashtag> <hashtag> covidー 19 </hashtag> <hashtag> covid 19 colombia </hashtag> <hashtag> covid 19 </hashtag>
10,10,Mi único miedo con el Coronavirus es que me de guayabo 🍺 #coronavirus,Other,mi único miedo con el coronavirus es que me de guayabo 🍺 <hashtag> coronavirus </hashtag>
11,11,"Estar en casa, con la familia, irte a dormir con el sonido de la lluvia😍 hay que verle el lado positivo a las cosas negativas.",Positive,"estar en casa , con la familia , irte a dormir con el sonido de la lluvia 😍 hay que verle el lado positivo a las cosas negativas ."
12,12,@ELTIEMPO @Citytv Colombianos de bien pelando el cobre. Asco de sociedad en la que vivimos,Negative,<user> <user> colombianos de bien pelando el cobre . asco de sociedad en la que vivimos
13,13,"Querida @RadioPragaES, me encuentro muy triste de no poder acceder más al contnido de archivo de los podcast en español. Fueron borrados o trasladados en el servidor. Ejemplo:",Negative,"querida <user> , me encuentro muy triste de no poder acceder más al contnido de archivo de los podcast en español . fueron borrados o trasladados en el servidor . ejemplo :"
14,14,Ánimo gracias Acá estoy TE estoy Pensando Animo Cuidate #YopogoMIBandera,Positive,ánimo gracias acá estoy te estoy pensando animo cuidate <hashtag> yopogo mi bandera </hashtag>
15,15,"HOY MAS QUE NUNCA SE CONFIRMA QUE CON PESTE O SIN ELLA «TUMBAR GOBERNANTES», TODO UN CHISTE. La revocatoria del mandato de alcaldes y gobernadores consagrada como una de las maneras para el ejercicio de la…",Negative,"<allcaps> hoy mas que nunca se confirma que con peste o sin ella </allcaps> « <allcaps> tumbar gobernantes </allcaps> » , <allcaps> todo un chiste </allcaps> . la revocatoria del mandato de alcaldes y gobernadores consagrada como una de las maneras para el ejercicio de la …"
16,16,amo hablar por mensajes. 🥰,Positive,amo hablar por mensajes . 🥰
17,17,Un cigarrillo mas y empezamos el día...,Other,un cigarrillo mas y empezamos el día . <repeated>
18,18,"😸 #gym #gymmotivation en Bogotá, Colombia",Practice_sports,"😸 <hashtag> gym </hashtag> <hashtag> gym motivation </hashtag> en bogotá , colombia"
19,19,Se nota que es viernes 13😟,Negative,se nota que es viernes <number> 😟
20,20,"Yo quiero apoyar, creer en mi presidente @IvanDuque he seguido las recomendaciones d @VictorTamayoV pero me sigue preocupado q los aeropuertos siguen abiertos. En las próximas horas llegan personas provenientes de España a nuestro municipio 🤔 definitivamente @ClaudiaLopez te amo",Negative,"yo quiero apoyar , creer en mi presidente <user> he seguido las recomendaciones d <user> pero me sigue preocupado q los aeropuertos siguen abiertos . en las próximas horas llegan personas provenientes de españa a nuestro municipio 🤔 definitivamente <user> te amo"
21,21,A veces caminamos como si dos manos a los lados de la cara taparan lo que tienes al lado.,Negative,a veces caminamos como si dos manos a los lados de la cara taparan lo que tienes al lado .
22,22,ninguno de mis amigos me dijeron feliz cumpleaños LIKE y me consigo otros amigos,Negative,ninguno de mis amigos me dijeron feliz cumpleaños <allcaps> like </allcaps> y me consigo otros amigos
23,23,"Si me mato y renazca en otra vida, ¿Aun existirá el coronavirus en esa vida? Que salado sería eso.",Negative,"si me mato y renazca en otra vida , ¿ aun existirá el coronavirus en esa vida ? que salado sería eso ."
24,24,"Hoy ha sido la primera vez en toda mi vida que me he sentado con papá y mamá y hemos una película juntos. ¡Buah! Ellos no lo saben, pero ha sido uno de los mejores días de mi vida.",Positive,"hoy ha sido la primera vez en toda mi vida que me he sentado con papá y mamá y hemos una película juntos . ¡ buah ! ellos no lo saben , pero ha sido uno de los mejores días de mi vida ."
25,25,Me comí unos frijoles con picante y me puso a sudar. Sígueme para más consejos de ejercicio pasivo,Non-healthy,me comí unos frijoles con picante y me puso a sudar . sígueme para más consejos de ejercicio pasivo
26,26,Total rechazo a esos criminales. Con la comida de los niños no se juega RT @linaarbelaez: Rechazo enérgicamente cualquier acto que atente contra la entrega de las canastas nutricionales de la niñez colombiana! Es inaceptable lo que nos mandan de la Guajira! Estamos conectados con la policía y sostendremos teleconferencia con el gobernador @NemesioRoys,Negative,total rechazo a esos criminales . con la comida de los niños no se juega rt <user> : rechazo enérgicamente cualquier acto que atente contra la entrega de las canastas nutricionales de la niñez colombiana ! es inaceptable lo que nos mandan de la guajira ! estamos conectados con la policía y sostendremos teleconferencia con el gobernador <user>
27,28,Primera media hora de entrenamiento en casa: Creo que me muero xD Estoy peor de lo que pensaba lo cual confirma que soy demasiado optimista uwu xD,Practice_sports,primera media hora de entrenamiento en casa : creo que me muero <laugh> estoy peor de lo que pensaba lo cual confirma que soy demasiado optimista uwu <laugh>
28,29,Ojo pues! Jajaja,Other,ojo pues ! jajaja
29,30,"Desafortunada la actuación de Margarita Rosa de Francisco. Adhiero comentario del Dr. Gutiérrez RT @johon_gutierrez: No, no y no! La solución en estos momentos no es ""limpiarse el QLO con la Bandera"". Probablemente la Sra que lo propone es uno de los ""modelitos"" e iconos desafortunados q hemos creado. Hoy, somos víctimas como sociedad de ese tipo de estereotipos que hemos estado MAL venerando!",Negative,"desafortunada la actuación de margarita rosa de francisco . adhiero comentario del dr . gutiérrez rt <user> : no , no y no ! la solución en estos momentos no es "" limpiarse el <allcaps> qlo </allcaps> con la bandera "" . probablemente la sra que lo propone es uno de los "" modelitos "" e iconos desafortunados q hemos creado . hoy , somos víctimas como sociedad de ese tipo de estereotipos que hemos estado <allcaps> mal </allcaps> venerando !"
30,31,Que maricada egh en todo el día nadie llama ni escribe y justo entro al hp baño y empiezan a llamar y escribir eeeeee 🤦‍♂️🤦‍♂️🤦‍♂️,Negative,que maricada egh en todo el día nadie llama ni escribe y justo entro al hp baño y empiezan a llamar y escribir e <elongated> 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️
31,32,"Se necesitó q fumaran marihuana entre @TransMilenio para por fin ver a todos sonreir, el resto del tiempo en ese sistema inhumano sólo se ven caras de tristeza, de desconfianza, de mal humor, de amargura, de afán, en fin, allá se ve de todo menos caras alegres.",Other,"se necesitó q fumaran marihuana entre <user> para por fin ver a todos sonreir , el resto del tiempo en ese sistema inhumano sólo se ven caras de tristeza , de desconfianza , de mal humor , de amargura , de afán , en fin , allá se ve de todo menos caras alegres ."
32,33,Hoy voy a presumir mi entrenamiento en casa.💙💪🏼,Practice_sports,hoy voy a presumir mi entrenamiento en casa . 💙 💪 🏼
33,34,¿El porno les quemó todas las neuronas que solo piensan en hacerse la paja? Mm ya.,Negative,¿ el porno les quemó todas las neuronas que solo piensan en hacerse la paja ? mm ya .
34,35,Debe estar en si finca aislado de todo y con la nevera llena en vez de estar haciendo algo por el país se pone a escribir semejante babosadas en tiempo de más ayuda y menos odio... Anotenlo para cuando termine todo esto! RT @LeoMunetonC: Sería más loable que en la crisis actual el @PartidoFARC haga mejor entrega de las caletas y dineros qué tienen en su poder y que prometieron dar durante el proceso de paz. Esto serviría en parte para mitigar la pandemia.,Negative,debe estar en si finca aislado de todo y con la nevera llena en vez de estar haciendo algo por el país se pone a escribir semejante babosadas en tiempo de más ayuda y menos odio . <repeated> anotenlo para cuando termine todo esto ! rt <user> : sería más loable que en la crisis actual el <user> haga mejor entrega de las caletas y dineros qué tienen en su poder y que prometieron dar durante el proceso de paz . esto serviría en parte para mitigar la pandemia .
35,36,otro día que me aplauden gracias gracias,Positive,otro día que me aplauden gracias gracias
36,37,"#Ajedrez #Fecodaz #Covid19Colombia Aprovecha tu tiempo libre, enseña o aprende este bello deporte. O mejor aún, mejora tus habilidades jugando en linea.",Other,"<hashtag> ajedrez </hashtag> <hashtag> fecodaz </hashtag> <hashtag> covid 19 colombia </hashtag> aprovecha tu tiempo libre , enseña o aprende este bello deporte . o mejor aún , mejora tus habilidades jugando en linea ."
37,38,Uy que estrés la gente que quiere todo regalado😡,Negative,uy que estrés la gente que quiere todo regalado 😡
38,39,"Malestar, indignación y frustración causaron un grupo de jóvenes que el pasado jueves fumaron marihuana dentro de un bus de TransMilenio.",Negative,"malestar , indignación y frustración causaron un grupo de jóvenes que el pasado jueves fumaron marihuana dentro de un bus de transmilenio ."
39,40,Estoy empezando a escuchar música triste jajajajajaja estoy entrando en depresión y no se si es por el encierro o que vaina,Negative,estoy empezando a escuchar música triste jajajajajaja estoy entrando en depresión y no se si es por el encierro o que vaina
40,41,"Chequeo de espalda tranquilo 🤙🏼disfrutandonlos cambios . . . . . . . . #Training #fitness #Workout #nopainnogains #gym #Entrenamiento #focus #Disciplina #Esfuerzo #go 💪🏽💪🏽💪🏽 en Bogotá, Colombia",Practice_sports,"chequeo de espalda tranquilo 🤙 🏼 disfrutandonlos cambios . . . . . . . . <hashtag> training </hashtag> <hashtag> fitness </hashtag> <hashtag> workout </hashtag> <hashtag> no pain no gains </hashtag> <hashtag> gym </hashtag> <hashtag> entrenamiento </hashtag> <hashtag> focus </hashtag> <hashtag> disciplina </hashtag> <hashtag> esfuerzo </hashtag> <hashtag> go </hashtag> 💪 🏽 💪 🏽 💪 🏽 en bogotá , colombia"
41,42,"Día no se cuanto de la cuarentena: le he cogido gustito a estar en casa, acostada con la ropa del gimnasio viendo videos.",Positive,"día no se cuanto de la cuarentena : le he cogido gustito a estar en casa , acostada con la ropa del gimnasio viendo videos ."
42,43,A mi me va a matar el estrés 🤯🤯,Negative,a mi me va a matar el estrés 🤯 🤯
43,44,"@lanathica Y lloraba por qué había comprado el vestido y la comida y los invitados a la reunión. Las prioridades de la niña están mal y si esos son los profesionales del futuro, nos jodimos.",Negative,"<user> y lloraba por qué había comprado el vestido y la comida y los invitados a la reunión . las prioridades de la niña están mal y si esos son los profesionales del futuro , nos jodimos ."
44,45,"Hace muchísimo tiempo no dormía hasta tan tarde, y se siento del asco.",Negative,"hace muchísimo tiempo no dormía hasta tan tarde , y se siento del asco ."
